Company Name,Locale,Description,Company Type,Company Area,Technologies,Link
Kongsberg Ferrotech,EU,Underwater robotic services for subsea pipelines and offshore assets,"Inspection OEM, Robotic OEM, OEM","Oil & Gas, Industrial","Robotic Inspection, Robotic Rehab",https://www.kferrotech.no/robotic-services/
Nirmitee Robotics,AS,HVAC duct inspection and cleaning using proprietary robotic systems,"Inspection OEM, Robotic OEM","Industrial","Robotic Inspection",https://www.nirmiteerobotics.com
Re-Gen Robotics,EU,Robotic systems for automated oil and chemical storage tank cleaning without human entry,"Robotic OEM","Oil & Gas, Industrial","Robotic Inspection, Robotic Rehab",https://regenrobotics.com
Robotic Pipe Repair LLC,US,Robotic epoxy spray system for structural repair of pipelines without excavation,"OEM, Robotic OEM","Pressure, Gravity","SIPP, Robotic Rehab, Robotic Inspection",https://roboticpiperepair.com
SROD Industrial Group,AS,Robotic systems for confined space inspection and rehabilitation of underground pipelines,"Inspection OEM, OEM, Robotic OEM","Pressure, Gravity, Industrial","Robotic Inspection, Robotic Rehab, Robotic Cutting, UV CIPP",https://srodrobotics.com
Quick-Lock (Uhrig Group),EU,Mechanical stainless-steel sleeve system for trenchless internal pipe point repair,"OEM","Pressure, Gravity, Large-D","Pipe Seals / Gaskets",https://quick-lock.uhrig-group.com/en/
Spray in Place Solutions,US,Contractor providing robotic spray-in-place epoxy lining for water and wastewater pipes,"Contractor, OEM","Pressure, Gravity","SIPP, Robotic Inspection, Robotic Rehab",https://www.sprayinplace.com
SippTech,US,Composite spray-applied pipe system using structural foam and fiber reinforcement,"OEM, Robotic OEM","Pressure","SIPP, FRP, Robotic Rehab",https://www.sipptech.com
NXT Group / Nukote Robotics,AU,Robotic internal pipe lining systems applying polyurea and polyurethane coatings,"OEM, Robotic OEM","Pressure, Gravity, Industrial","SIPP, Robotic Rehab",https://nxtgroup.au/our-solution/internal-pipe-lining-works/
Sanikom,EU,Manufacturer of trenchless pipe repair equipment including packers and inversion systems,"OEM","Gravity","CIPP, Pipe Seals / Gaskets",https://www.sanikom.si/index.php/en/
Dancutter,EU,Manufacturer of robotic cutting systems for reinstatement and pipe preparation,"Robotic OEM, OEM","Gravity","Robotic Cutting, Robotic Rehab",https://www.dancutter.com
Sewertronics,EU,Developer of LED curing and robotic solutions for CIPP pipe rehabilitation,"OEM, Inspection OEM, Robotic OEM","Gravity","UV CIPP, Robotic Inspection, Robotic Rehab",https://sewertronics.com
Genesis Pipe Rehabilitation,US,Tools and robotic systems for pipe cleaning inspection and spray lining,"OEM, Robotic OEM","Pressure, Gravity","SIPP, Robotic Rehab, Robotic Inspection",https://genesispipe.com
Aries Industries,US,Manufacturer of pipeline inspection cameras cutters and rehabilitation equipment,"Inspection OEM, Robotic OEM, OEM","Gravity","Robotic Inspection, Robotic Cutting, Robotic Rehab",https://ariesindustries.com
RS Technik (MaxLiner),EU,Epoxy-based cured-in-place lining system for small-diameter pipelines,"OEM","Gravity","CIPP",https://rstechnik.com/en/systems/rs-maxliner-extension-version-transporter/
Picote Solutions,EU,Trenchless pipe cleaning cutting and lining equipment provider with global training,"Contractor, OEM, Inspection OEM, Robotic OEM, Trainer","Gravity","CIPP, FRP, Robotic Cutting, Robotic Rehab",https://www.picotegroup.com
Vortex Companies / Schwalm Robots,US,Robotic platforms for cutting grinding cleaning and rehabilitating sewer pipes,"Robotic OEM, OEM, Inspection OEM","Gravity","Robotic Cutting, Robotic Rehab, Robotic Inspection",https://vortexcompanies.com/products/schwalm-robots/
Rovula (ARV’s Nautilus),AS,Autonomous subsea robot for inspection and repair of offshore pipelines,"Robotic OEM, OEM","Oil & Gas, Industrial","Robotic Inspection, Robotic Rehab",https://www.s2-robotics.com/products-and-services/product-detail/nautilus/
